Area,Room,Parking,Warehouse,Elevator,Address,Price(USD),tartib
114,2,1,1,1,West Pars,127333.33,192
100,2,1,1,1,Punak,200000,193
122,2,1,1,1,Saadat Abad,193333.33,194
200,2,1,1,0,Damavand,116666.67,195
154,3,1,1,1,Saadat Abad,410000,196
210,3,1,1,1,Pasdaran,525000,197
200,3,1,1,1,East Ferdows Boulevard,366666.67,198
65,1,1,1,1,Southern Janatabad,100000,199
124,3,1,1,1,Pirouzi,132266.67,200
83,2,1,1,1,Republic,63633.33,201
270,4,1,1,1,Farmanieh,1260000,202
104,2,1,1,1,East Ferdows Boulevard,190000,203
150,3,1,1,1,Zaferanieh,349666.67,204
103,3,1,1,1,West Ferdows Boulevard,106666.67,205
48,1,1,1,1,West Ferdows Boulevard,64000,206
165,3,1,1,1,Gheitarieh,410000,207
135,2,1,1,0,Gheitarieh,246666.67,208
86,2,1,1,1,Saadat Abad,206666.67,209
75,2,1,1,1,East Ferdows Boulevard,78333.33,210
58,1,1,1,1,East Ferdows Boulevard,61666.67,211
125,2,1,1,1,Shahrake Gharb,716666.67,212
82,2,1,1,1,Qazvin Imamzadeh Hassan,62866.67,213
58,2,1,1,1,Shahran,73333.33,214
101,2,1,1,1,Beryanak,77433.33,215
90,2,1,1,1,Niavaran,226666.67,216
180,3,1,1,1,Farmanieh,690000,217
132,3,1,1,1,Gheitarieh,208333.33,218
81,2,1,1,1,Valiasr,62100,219
153,3,1,1,1,Pasdaran,433333.33,220
166,3,1,1,1,Qalandari,416666.67,221
200,3,1,1,1,Pasdaran,566666.67,222
113,2,1,1,1,Pasdaran,283333.33,223
100,2,1,1,1,Valiasr,76666.67,224
80,2,1,1,1,Central Janatabad,111666.67,225
76,2,1,1,1,Jeyhoon,66666.67,226
128,3,1,1,1,Punak,190000,227
210,3,1,1,1,Shahrake Gharb,900000,228
140,2,1,1,1,Shahrake Gharb,420000,229
74,2,1,1,1,Amir Bahador,56733.33,230
75,1,1,1,1,Central Janatabad,100000,231
120,2,1,1,1,Pasdaran,250000,232
120,2,1,1,1,Pasdaran,250000,233
85,2,1,1,1,Ekhtiarieh,166666.67,234
105,2,1,1,1,Pardis,23333.33,235
175,3,1,1,1,Farmanieh,520000,236
170,3,1,1,1,Farmanieh,511666.67,237
58,1,1,1,1,Ekbatan,93666.67,238
75,2,1,1,1,Parand,13166.67,239
160,3,1,1,1,Gheitarieh,503333.33,240
62,1,1,1,1,Shahran,61666.67,241
93,2,1,1,1,Rudhen,48333.33,242
75,2,1,1,1,Islamshahr,23833.33,243
86,2,1,1,0,Islamshahr,40000,244
120,2,1,1,1,Southern Program Organization,142000,245
95,2,1,1,1,Andisheh,50000,246
70,2,1,1,0,West Ferdows Boulevard,70666.67,247
75,2,1,1,0,East Ferdows Boulevard,66666.67,248
81,2,1,0,1,Pardis,19666.67,249
65,1,1,1,0,West Ferdows Boulevard,64333.33,250
75,2,1,1,1,East Ferdows Boulevard,91000,251
106,2,1,1,0,East Ferdows Boulevard,105000,252
115,2,1,1,1,East Ferdows Boulevard,153333.33,253
100,2,1,1,1,Shahr-e-Ziba,100000,254
118,2,1,1,1,East Ferdows Boulevard,150000,255
116,2,1,1,1,East Ferdows Boulevard,170000,256
76,2,1,1,1,Shahr-e-Ziba,73333.33,257
74,2,1,1,0,East Ferdows Boulevard,76666.67,258
96,2,1,1,1,Saadat Abad,150000,259
87,2,1,1,1,Pardis,20833.33,260
43,1,1,1,0,Northern Janatabad,54000,261
155,3,1,1,1,Niavaran,568333.33,262
53,1,1,1,1,East Ferdows Boulevard,64000,263
160,3,1,1,1,Farmanieh,586666.67,264
78,2,1,1,1,Shahr-e-Ziba,75000,265
230,3,1,1,1,Niavaran,843333.33,266
55,1,1,1,1,West Ferdows Boulevard,61666.67,267
120,2,1,1,0,Saadat Abad,390000,268
78,2,1,1,1,Southern Janatabad,120000,269
95,2,1,1,1,Southern Janatabad,146666.67,270
170,3,1,1,1,Gheitarieh,513333.33,271
175,3,1,1,1,Shahrake Gharb,758333.33,272
115,3,1,1,1,Punak,150000,273
113,2,1,1,1,Punak,143333.33,274
85,2,1,1,1,Punak,112666.67,275
140,3,1,1,1,Saadat Abad,333333.33,276
90,2,1,1,1,Saadat Abad,216666.67,277
63,1,1,0,0,Punak,73333.33,278
75,2,1,1,1,Central Janatabad,107333.33,279
130,3,1,1,1,Punak,208000,280
91,2,1,1,1,Punak,111666.67,281
121,3,1,1,1,Persian Gulf Martyrs Lake,121666.67,282
140,3,1,1,1,Saadat Abad,516666.67,283
126,2,1,1,1,East Ferdows Boulevard,183333.33,284
450,2,1,1,0,Absard,140000,285
500,2,1,1,0,Absard,130000,286
110,1,1,1,1,Pasdaran,220000,287
145,3,1,1,1,Haft Tir,156666.67,288
81,2,1,1,1,Shahrake Qods,27000,289
64,2,1,1,1,Shahr-e-Ziba,73333.33,290
112,2,1,1,1,Shahr-e-Ziba,122666.67,291
192,3,1,1,1,Marzdaran,422333.33,292
164,3,1,1,1,Marzdaran,333333.33,293
135,3,1,1,1,Pasdaran,270000,294
170,3,1,1,1,Mahallati,306666.67,295
130,3,1,1,1,Mahallati,173333.33,296
84,2,1,1,1,Shahran,113333.33,297
82,2,1,1,1,Shahran,118333.33,298
265,3,1,1,1,Farmanieh,666666.67,299
60,1,1,1,1,Southern Janatabad,65000,300
145,3,1,1,1,Pasdaran,516666.67,301
65,1,0,1,1,Southern Janatabad,66666.67,302
60,1,1,1,0,Southern Janatabad,76000,303
63,2,1,1,1,Southern Janatabad,66666.67,304
70,2,1,1,1,Southern Janatabad,65000,305
92,2,1,1,1,Feiz Garden,130000,306
98,2,1,1,1,Pasdaran,260000,307
62,1,1,1,1,Southern Janatabad,76000,308
65,1,1,1,1,Punak,96666.67,309
90,2,1,1,1,Ozgol,166666.67,310
59,2,1,1,1,Southern Janatabad,63333.33,311
63,2,1,1,1,Southern Janatabad,66666.67,312
60,2,1,1,1,Southern Janatabad,73333.33,313
70,2,1,1,1,Southern Janatabad,83333.33,314
60,1,1,1,1,Southern Janatabad,73333.33,315
165,3,1,1,1,Pasdaran,350000,316
135,2,1,1,1,Zaferanieh,583333.33,317
65,1,1,1,1,Southern Janatabad,66666.67,318
60,1,1,1,1,Southern Janatabad,75000,319
60,1,1,1,1,Southern Janatabad,75000,320
86,2,1,1,1,Southern Janatabad,120000,321
109,2,1,1,1,Heravi,200000,322
98,2,1,1,0,Narmak,94733.33,323
80,2,1,1,1,Central Janatabad,104000,324
143,3,1,1,1,Gheitarieh,295333.33,325
95,2,1,1,1,Saadat Abad,151666.67,326
86,2,1,1,1,Punak,123333.33,327
160,3,1,1,1,Gheitarieh,333333.33,328
200,3,1,1,1,Pasdaran,552666.67,329
74,1,1,1,1,Punak,108333.33,330
350,3,1,1,1,Zaferanieh,1750000,331
87,2,1,1,1,Northern Janatabad,118333.33,332
82,2,1,1,1,West Ferdows Boulevard,115000,333
55,1,1,1,1,Shahr-e-Ziba,83000,334
148,3,1,1,1,Ekhtiarieh,280000,335
55,1,1,0,1,Shahr-e-Ziba,67333.33,336
100,2,1,1,0,Southern Janatabad,126666.67,337
55,1,0,1,0,West Ferdows Boulevard,51666.67,338
130,3,1,1,1,Central Janatabad,176666.67,339
335,4,1,1,1,Saadat Abad,1116666.67,340
320,4,1,1,1,Saadat Abad,1333333.33,341
192,3,1,1,1,Saadat Abad,650000,342
100,2,1,1,1,Gheitarieh,266666.67,343
148,3,1,1,1,Saadat Abad,493333.33,344
145,2,1,1,1,Shahrake Gharb,490000,345
192,4,1,1,1,Saadat Abad,733333.33,346
235,3,1,1,1,North Program Organization,548333.33,347
225,3,1,1,1,Heravi,525000,348
221,4,1,1,1,Saadat Abad,833333.33,349
312,4,1,1,1,Farmanieh,1500000,350
188,3,1,1,1,Ozgol,589066.67,351
170,2,1,1,1,Farmanieh,413333.33,352
198,3,1,1,1,Farmanieh,924000,353
80,2,1,1,1,North Program Organization,103333.33,354
170,3,1,1,1,Niavaran,623333.33,355
110,2,1,1,1,Tajrish,220000,356
650,2,1,1,0,Absard,173333.33,357
200,3,1,1,1,Saadat Abad,400000,358
101,3,1,1,1,Ekhtiarieh,216666.67,359
104,2,1,1,1,Feiz Garden,128333.33,360
70,2,1,1,1,Northern Janatabad,106666.67,361
76,2,1,1,0,Shahr-e-Ziba,85666.67,362
110,2,1,1,1,Feiz Garden,143333.33,363
160,2,1,1,1,Pasdaran,540000,364
179,3,1,1,1,Dorous,460000,365
256,3,1,1,1,Dorous,616666.67,366
90,2,1,1,1,Feiz Garden,128333.33,367
77,2,1,1,1,Shahr-e-Ziba,85666.67,368
96,2,1,1,1,Pasdaran,186666.67,369
75,1,1,1,1,Central Janatabad,108333.33,370
79,2,1,1,1,Abazar,100000,371
67,1,1,1,1,Saadat Abad,113333.33,372
125,2,1,1,1,Shahr-e-Ziba,213333.33,373
75,2,1,1,0,Shahr-e-Ziba,63000,374
75,2,1,1,0,Shahr-e-Ziba,63000,375
91,2,1,1,1,Saadat Abad,180000,376
105,2,1,1,1,Parand,47250,377
66,2,1,1,1,Ostad Moein,52833.33,378
86,2,1,1,1,Southern Janatabad,109000,379
72,2,1,1,0,Northern Janatabad,79333.33,380
148,2,1,0,1,Koohsar,150000,381
84,2,1,1,1,Saadat Abad,153333.33,382
128,2,1,1,1,Niavaran,426666.67,383
65,1,1,1,1,West Ferdows Boulevard,130000,384
140,3,1,1,1,Pasdaran,393333.33,385
115,2,1,1,1,Ekhtiarieh,246666.67,386
105,2,1,1,1,Saadat Abad,190000,387
87,2,1,1,1,Pardis,21666.67,388
75,2,1,1,0,Shahr-e-Ziba,63000,389
60,1,1,1,1,Persian Gulf Martyrs Lake,29166.67,390
68,1,1,1,1,Southern Program Organization,87666.67,391
49,1,1,1,1,West Ferdows Boulevard,73333.33,392
103,2,1,1,1,Hekmat,309000,393
55,1,1,1,1,West Ferdows Boulevard,73333.33,394
140,3,1,1,1,Punak,256666.67,395
257,4,1,1,1,Persian Gulf Martyrs Lake,428333.33,396
82,2,1,1,1,Punak,133933.33,397
167,3,1,1,1,Punak,356266.67,398
53,1,0,1,0,West Ferdows Boulevard,54666.67,399
51,1,0,1,0,West Ferdows Boulevard,51666.67,400
54,1,1,1,0,West Ferdows Boulevard,71000,401
82,2,1,1,1,Sattarkhan,136666.67,402
75,2,1,1,1,West Ferdows Boulevard,93333.33,403
98,2,1,1,1,West Ferdows Boulevard,150666.67,404
75,2,1,1,0,Shahr-e-Ziba,63000,405
70,1,1,1,1,Niavaran,186666.67,406
75,2,1,1,0,Shahr-e-Ziba,63000,407
64,1,1,1,1,Ekbatan,123333.33,408
85,2,1,1,1,Jeyhoon,70000,409
48,1,0,1,0,Parastar,32666.67,410
75,2,1,1,0,Shahr-e-Ziba,63000,411
246,3,1,1,1,Ekhtiarieh,750000,412
168,3,1,1,1,Gheitarieh,466666.67,413
280,4,1,1,1,Saadat Abad,1283333.33,414
75,2,1,1,0,Shahr-e-Ziba,63000,415
84,2,1,1,1,Pardis,22666.67,416
75,2,1,1,0,Shahr-e-Ziba,63000,417
108,2,1,1,1,Gisha,172666.67,418
62,1,1,1,1,Shahr-e-Ziba,86000,419
70,2,1,1,1,Southern Janatabad,112333.33,420
180,3,1,1,1,Pasdaran,330000,421
135,3,1,1,1,Abazar,216000,422
75,2,1,1,0,Shahr-e-Ziba,63000,423
108,2,1,1,1,Farmanieh,206666.67,424
91,2,1,1,1,Ekhtiarieh,172666.67,425
120,2,1,1,1,Gheitarieh,296666.67,426
112,2,1,1,0,Gheitarieh,250000,427
75,2,1,1,0,Shahr-e-Ziba,63000,428
123,2,1,1,1,Pirouzi,135300,429
69,2,1,1,1,Pirouzi,60000,430
400,5,1,1,0,Lavasan,2833333.33,431
660,5,1,1,0,Lavasan,1833333.33,432
66,1,1,0,1,Pirouzi,61666.67,433
80,2,1,1,1,Ostad Moein,71666.67,434
44,1,1,1,0,Pirouzi,29333.33,435
180,3,1,1,1,East Ferdows Boulevard,312000,436
164,3,1,1,1,East Ferdows Boulevard,328000,437
213,3,1,1,1,East Ferdows Boulevard,482800,438
100,2,1,1,1,Shahr-e-Ziba,113333.33,439
75,2,1,1,0,Shahr-e-Ziba,63000,440
300,3,1,1,1,Niavaran,1850000,441
126,3,1,1,1,Ostad Moein,100000,442
85,2,1,1,1,Majidieh,83333.33,443
75,2,1,1,0,Shahr-e-Ziba,63000,444
57,1,0,1,1,Parastar,42333.33,445
61,1,0,1,0,Shahr-e-Ziba,66333.33,446
79,2,1,1,1,Jeyhoon,60566.67,447
68,1,1,1,1,Pirouzi,81666.67,448
105,2,1,1,1,Pardis,33333.33,449
105,2,1,1,1,Saadat Abad,256666.67,450
160,2,1,1,1,Pardis,64333.33,451
100,2,1,1,1,Pardis,19500,452
125,3,1,1,1,Saadat Abad,416666.67,453
94,2,1,0,1,Pardis,33000,454
80,2,0,1,0,Northern Janatabad,73333.33,455
75,2,1,0,1,Parastar,76666.67,456
99,3,1,1,1,North Program Organization,139666.67,457
90,2,1,1,1,Shahr-e-Ziba,136633.33,458
129,3,1,1,1,Shahr-e-Ziba,150000,459
245,3,1,1,1,Aqdasieh,1216666.67,460
102,2,1,1,0,Parastar,67666.67,461
141,3,1,1,1,Pakdasht,40833.33,462
96,2,1,1,1,Shahr-e-Ziba,128000,463
155,3,1,1,1,Heravi,286666.67,464
300,3,1,1,1,Farmanieh,1850000,465
87,2,1,1,1,Gheitarieh,208800,466
87,2,1,1,1,Gheitarieh,208800,467
105,2,1,1,1,Gheitarieh,206666.67,468
61,1,1,1,1,Shahran,61666.67,469
88,2,1,1,1,East Ferdows Boulevard,123333.33,470
101,2,1,1,1,West Ferdows Boulevard,123333.33,471
160,2,1,1,1,Pardis,64333.33,472
130,2,1,1,1,Southern Chitgar,108333.33,473
150,3,1,1,1,Karimkhan,260000,474
144,2,1,1,1,Railway,220000,475
91,2,1,1,1,Southern Janatabad,150000,476
68,2,1,1,1,West Ferdows Boulevard,73333.33,477
133,3,1,1,1,Rudhen,75333.33,478
71,2,1,1,1,Si Metri Ji,54433.33,479
64,1,1,1,1,Pardis,22666.67,480
132,2,1,1,1,Rudhen,74800,481
95,2,1,1,1,Abazar,186666.67,482
95,2,1,1,1,Abazar,150000,483
102,2,1,1,1,Abazar,173333.33,484
120,2,1,1,1,Abazar,208333.33,485
117,3,1,1,1,East Ferdows Boulevard,153333.33,486
55,1,1,1,1,Karoon,52333.33,487
60,1,1,1,1,Northern Chitgar,9833.33,488
85,2,1,1,1,Jeyhoon,63333.33,489
80,2,0,1,1,Jeyhoon,58333.33,490
54,1,1,1,1,Jeyhoon,50000,491
57,1,1,1,1,Feiz Garden,62666.67,492
101,2,1,0,1,Pirouzi,104333.33,493
65,2,1,1,0,Feiz Garden,65333.33,494
91,2,1,1,1,Punak,107666.67,495
105,2,1,1,1,Pardis,23000,496
86,2,1,1,1,Central Janatabad,116000,497
200,3,1,1,1,Farmanieh,1166666.67,498
87,2,1,1,1,Pardis,25333.33,499
103,2,1,1,1,Shahran,118333.33,500
81,2,1,1,1,East Pars,96390,501
73,2,1,1,1,Feiz Garden,86666.67,502
90,2,1,1,1,Northern Chitgar,15166.67,503
134,3,1,1,1,Andisheh,53333.33,504
60,1,1,1,1,Shahran,61666.67,505
51,1,1,1,0,Shahran,67333.33,506
108,2,1,1,0,Pardis,43333.33,507
86,2,1,1,1,Pardis,20333.33,508
110,2,1,1,0,Pardis,62333.33,509
88,2,1,1,1,Pardis,24666.67,510
85,2,1,1,1,Pardis,26000,511
100,2,1,1,1,Pirouzi,100000,512
87,2,1,1,1,Pardis,23833.33,513
191,3,1,1,1,Farmanieh,604833.33,514
91,2,1,1,1,Salsabil,69766.67,515
282,3,1,1,1,Farmanieh,1222000,516
282,2,1,1,1,Niavaran,1000000,517
210,3,1,1,1,Farmanieh,770000,518
87,2,1,1,1,Pardis,21666.67,519
170,2,1,1,1,Kook,238000,520
89,2,1,1,1,Moniriyeh,68233.33,521
64,2,1,1,1,Saadat Abad,106666.67,522
89,2,1,1,1,Northern Janatabad,103333.33,523
135,3,1,1,1,Zaferanieh,393333.33,524
75,2,0,0,0,Air force,55000,525
105,2,1,1,1,Air force,133000,526
320,4,1,1,1,Saadat Abad,1333333.33,527
111,2,1,1,1,Saadat Abad,226666.67,528
133,3,1,1,1,Sohanak,248266.67,529
65,1,1,1,0,Saadat Abad,108333.33,530
65,1,0,1,1,Lavizan,88333.33,531
112,2,1,1,1,Gheitarieh,273333.33,532
147,3,1,1,1,Ekhtiarieh,280000,533
150,3,1,1,1,Saadat Abad,400000,534
67,1,1,1,1,Southern Janatabad,115000,535
220,3,1,1,1,Ekhtiarieh,500000,536
66,2,1,1,1,Narmak,83666.67,537
75,2,1,1,0,Shahr-e-Ziba,62666.67,538
180,3,1,1,1,Aqdasieh,420000,539
103,2,1,1,1,Saadat Abad,173333.33,540
68,1,1,1,1,West Ferdows Boulevard,119000,541
115,2,1,1,1,Pasdaran,366666.67,542
115,2,1,1,1,Andisheh,63333.33,543
150,3,1,1,1,Narmak,280000,544
78,2,1,1,1,Qasr-od-Dasht,66666.67,545
100,2,1,1,1,Persian Gulf Martyrs Lake,33333.33,546
58,1,1,1,1,Punak,88333.33,547
90,2,1,1,1,Punak,140000,548
235,3,1,1,1,Gheitarieh,800000,549
48,1,1,1,1,Punak,75000,550
70,2,1,1,1,Punak,93333.33,551
86,2,1,1,1,Punak,140000,552
79,2,1,1,1,Pardis,18333.33,553
88,2,1,1,1,Central Janatabad,120000,554
145,3,1,1,1,Qalandari,433333.33,555
64,2,1,1,0,Jeyhoon,50000,556
135,3,1,1,1,Saadat Abad,382500,557
50,1,0,1,0,Pirouzi,42000,558
87,2,1,1,1,Pardis,18000,559
84,2,1,1,1,Pardis,18333.33,560
300,4,1,1,1,Zaferanieh,1400000,561
137,3,1,1,1,Zaferanieh,333333.33,562
105,2,1,1,1,Velenjak,316666.67,563
145,2,1,1,1,Zaferanieh,366666.67,564
84,2,1,1,1,Pardis,18666.67,565
170,2,1,1,1,Zaferanieh,1066666.67,566
157,3,1,1,1,Zaferanieh,493333.33,567
170,3,1,1,1,Zaferanieh,633333.33,568
283,3,1,1,1,Zaferanieh,990000,569
84,2,1,1,1,Pardis,18000,570
84,2,1,1,1,Pardis,18333.33,572
80,2,1,1,0,Northern Janatabad,108333.33,573
863,2,1,1,1,Gheitarieh,261000,574
125,2,1,1,1,Kamranieh,290000,575
65,2,1,1,1,Punak,78333.33,576
105,2,1,1,1,Southern Janatabad,176666.67,577
170,3,1,1,1,Farmanieh,623333.33,578
230,3,1,1,1,Ekhtiarieh,643333.33,579
200,3,1,1,1,Pasdaran,733333.33,580
150,3,1,1,1,Pasdaran,433333.33,581
93,2,1,1,1,Central Janatabad,155000,582
110,2,1,1,1,Central Janatabad,150000,583
